Extension,File_Size,Entropy,Mime_Type,Is_Executable,Threat
pdf,5703376,2.61,application/pdf,0,Benign
docm,18359043,5.11,application/vnd.ms-word.document.macroEnabled.12,0,Suspicious
xlsm,27706925,6.08,application/vnd.ms-excel.sheet.macroEnabled.12,0,Suspicious
pdf,39828,1.77,application/pdf,0,Benign
csv,1199419,4.67,text/csv,0,Benign
dll,3440780,6.12,application/x-msdownload,1,Malware
xlsx,1181998,1.68,application/vnd.ms-excel.sheet,0,Benign
pdf,6990253,3.65,application/pdf,0,Benign
gif,1511333,2.89,image/gif,0,Benign
docm,77337028,7.12,application/vnd.ms-word.document.macroEnabled.12,0,Suspicious
csv,2365279,1.61,text/csv,0,Benign
exe,6349704,6.84,application/x-dosexec,1,Malware
pdf,3545849,4.64,application/pdf,0,Benign
pptx,1221453,3.11,application/vnd.ms-powerpoint,0,Benign
ps1,34947660,7.03,text/plain,1,Malware
pdf,7371274,3.6,application/pdf,0,Benign
jpg,3726874,2.08,image/jpeg,0,Benign
exe,31631402,5.84,application/x-dosexec,1,Malware
dll,27940163,6.96,application/x-msdownload,1,Malware
txt,5072949,1.98,text/plain,0,Benign
scr,24367926,6.54,application/x-dosexec,1,Malware
exe,16329061,5.77,application/x-dosexec,1,Malware
xlsm,15426560,5,application/vnd.ms-excel.sheet.macroEnabled.12,0,Suspicious
scr,47524992,6.44,application/x-dosexec,1,Malware
xlsm,3650069,5.19,application/vnd.ms-excel.sheet.macroEnabled.12,0,Suspicious
vbs,453722,7.29,text/plain,1,Malware
zip,59443192,6.87,application/zip,0,Suspicious
zip,31647841,4.51,application/zip,0,Suspicious
js,3022636,6.99,application/javascript,1,Malware
txt,6286782,3.29,text/plain,0,Benign
bat,27466626,7.81,text/plain,1,Malware
gif,3184658,5.91,image/gif,0,Benign
docm,19680041,3.84,application/vnd.ms-word.document.macroEnabled.12,0,Suspicious
docx,1023016,4.05,application/vnd.openxmlformats-officedocument.wordprocessingml.document,0,Benign
exe,41036231,6.72,application/x-dosexec,1,Malware
txt,5709685,3.13,text/plain,0,Benign
docx,429115,2.32,application/vnd.openxmlformats-officedocument.wordprocessingml.document,0,Benign
dll,15600555,6.06,application/x-msdownload,1,Malware
jpg,6406234,2.96,image/jpeg,0,Benign
exe,38286392,7.08,application/x-dosexec,1,Malware
png,1852588,4.47,image/png,0,Benign
scr,15359997,7.03,application/x-dosexec,1,Malware
jar,43753436,7.88,application/java-archive,1,Malware
xlsx,6764261,1.6,application/vnd.ms-excel.sheet,0,Benign
jar,44957591,6.77,application/java-archive,1,Malware
dll,27126957,7.98,application/x-msdownload,1,Malware
ps1,24459342,7.94,text/plain,1,Malware
csv,2411176,4.68,text/csv,0,Benign
docx,57605,4.38,application/vnd.openxmlformats-officedocument.wordprocessingml.document,0,Benign
docx,7069906,4.76,application/vnd.openxmlformats-officedocument.wordprocessingml.document,0,Benign
bat,13751813,4.99,text/plain,1,Malware
rar,14761071,4.48,application/x-rar-compressed,0,Suspicious
jpg,6137273,3.94,image/jpeg,0,Benign
apk,22705659,6.77,application/vnd.android.package-archive,1,Malware
xlsx,2846184,1.56,application/vnd.ms-excel.sheet,0,Benign
docm,41834005,7.03,application/vnd.ms-word.document.macroEnabled.12,0,Suspicious
scr,5247138,5.59,application/x-dosexec,1,Malware
txt,6765222,3.89,text/plain,0,Benign
vbs,4364290,5.91,text/plain,1,Malware
png,847753,5.64,image/png,0,Benign
png,2155091,4.23,image/png,0,Benign
pptm,21005196,5.98,application/vnd.ms-powerpoint.presentation.macroEnabled.12,0,Suspicious
7z,31404014,6.59,application/x-7z-compressed,0,Suspicious
rar,61265892,6.01,application/x-rar-compressed,0,Suspicious
docm,72254005,4.44,application/vnd.ms-word.document.macroEnabled.12,0,Suspicious
iso,37367443,4.22,application/x-iso9660-image,0,Suspicious
docx,509930,1.29,application/vnd.openxmlformats-officedocument.wordprocessingml.document,0,Benign
scr,33252983,6.42,application/x-dosexec,1,Malware
dll,8638820,5.58,application/x-msdownload,1,Malware
zip,70619556,4.42,application/zip,0,Suspicious
pptx,7601615,1.48,application/vnd.ms-powerpoint,0,Benign
docm,44721892,7.48,application/vnd.ms-word.document.macroEnabled.12,0,Suspicious
pptm,4846308,5.64,application/vnd.ms-powerpoint.presentation.macroEnabled.12,0,Suspicious
scr,25064585,6.71,application/x-dosexec,1,Malware
vbs,8352460,7.97,text/plain,1,Malware
jpg,7764478,4.35,image/jpeg,0,Benign
ps1,43533701,7.55,text/plain,1,Malware
pptx,624378,4.11,application/vnd.ms-powerpoint,0,Benign
vbs,4833290,5.13,text/plain,1,Malware
ps1,13212734,5.66,text/plain,1,Malware
txt,7280080,3.19,text/plain,0,Benign
vbs,24536504,7.47,text/plain,1,Malware
pptx,3658524,3.61,application/vnd.ms-powerpoint,0,Benign
exe,15627324,7.68,application/x-dosexec,1,Malware
xlsm,67453111,6.2,application/vnd.ms-excel.sheet.macroEnabled.12,0,Suspicious
pptm,79243275,7.4,application/vnd.ms-powerpoint.presentation.macroEnabled.12,0,Suspicious
txt,2841872,4.33,text/plain,0,Benign
pdf,280148,2.35,application/pdf,0,Benign
exe,25427117,6.49,application/x-dosexec,1,Malware
vbs,27612510,7.92,text/plain,1,Malware
pptm,7366211,6.63,application/vnd.ms-powerpoint.presentation.macroEnabled.12,0,Suspicious
rar,63987962,4.36,application/x-rar-compressed,0,Suspicious
docm,27092203,6.88,application/vnd.ms-word.document.macroEnabled.12,0,Suspicious
exe,1950846,7.05,application/x-dosexec,1,Malware
jpg,748263,4.71,image/jpeg,0,Benign
dll,22172455,7.74,application/x-msdownload,1,Malware
pptm,39839218,4.81,application/vnd.ms-powerpoint.presentation.macroEnabled.12,0,Suspicious
bat,10591449,7.88,text/plain,1,Malware
txt,7667979,1.46,text/plain,0,Benign
ps1,13230025,5.26,text/plain,1,Malware
jar,18735539,6.08,application/java-archive,1,Malware
vbs,31554139,7.48,text/plain,1,Malware
pptx,3587121,5.66,application/vnd.ms-powerpoint,0,Benign
pdf,5758472,4.11,application/pdf,0,Benign
gif,6355934,3.84,image/gif,0,Benign
7z,52578244,7.37,application/x-7z-compressed,0,Suspicious
7z,11056215,7.4,application/x-7z-compressed,0,Suspicious
exe,23052664,5.93,application/x-dosexec,1,Malware
xlsm,76142626,4.41,application/vnd.ms-excel.sheet.macroEnabled.12,0,Suspicious
txt,3979586,1.81,text/plain,0,Benign
png,5440535,5.58,image/png,0,Benign
dll,6120084,7.41,application/x-msdownload,1,Malware
apk,33169883,7.73,application/vnd.android.package-archive,1,Malware
iso,787268,4.28,application/x-iso9660-image,0,Suspicious
png,7276999,3.04,image/png,0,Benign
exe,11619575,7.41,application/x-dosexec,1,Malware
js,972864,5.8,application/javascript,1,Malware
csv,5174252,4.51,text/csv,0,Benign
xlsx,3581097,4.05,application/vnd.ms-excel.sheet,0,Benign
iso,5855034,4.31,application/x-iso9660-image,0,Suspicious
7z,62915746,6.78,application/x-7z-compressed,0,Suspicious
docx,340574,1.99,application/vnd.openxmlformats-officedocument.wordprocessingml.document,0,Benign
gif,1458943,1.61,image/gif,0,Benign
png,1081575,2.65,image/png,0,Benign
docx,2763511,1.54,application/vnd.openxmlformats-officedocument.wordprocessingml.document,0,Benign
exe,49195488,6.05,application/x-dosexec,1,Malware
xlsm,17492991,3.85,application/vnd.ms-excel.sheet.macroEnabled.12,0,Suspicious
dll,46110839,5.85,application/x-msdownload,1,Malware
jar,46425033,6.8,application/java-archive,1,Malware
docx,2100583,2.93,application/vnd.openxmlformats-officedocument.wordprocessingml.document,0,Benign
iso,58490301,5.12,application/x-iso9660-image,0,Suspicious
pptm,38009194,6.11,application/vnd.ms-powerpoint.presentation.macroEnabled.12,0,Suspicious
exe,4629702,6.33,application/x-dosexec,1,Malware
rar,7996536,7.09,application/x-rar-compressed,0,Suspicious
xlsm,10783209,6.4,application/vnd.ms-excel.sheet.macroEnabled.12,0,Suspicious
apk,28701011,5.43,application/vnd.android.package-archive,1,Malware
apk,30278879,6.42,application/vnd.android.package-archive,1,Malware
bat,5283293,6.46,text/plain,1,Malware
apk,32455831,6.4,application/vnd.android.package-archive,1,Malware
zip,7459413,5.44,application/zip,0,Suspicious
rar,41169252,6.7,application/x-rar-compressed,0,Suspicious
rar,23483768,6.41,application/x-rar-compressed,0,Suspicious
docm,48322017,4.45,application/vnd.ms-word.document.macroEnabled.12,0,Suspicious
exe,32000316,7.67,application/x-dosexec,1,Malware
zip,4155039,7.34,application/zip,0,Suspicious
jar,16948892,7.54,application/java-archive,1,Malware
7z,27430434,6.42,application/x-7z-compressed,0,Suspicious
docm,6230386,5.53,application/vnd.ms-word.document.macroEnabled.12,0,Suspicious
ps1,36516453,5.03,text/plain,1,Malware
pptx,623334,3.57,application/vnd.ms-powerpoint,0,Benign
bat,29641663,7.24,text/plain,1,Malware
xlsm,78777453,6.54,application/vnd.ms-excel.sheet.macroEnabled.12,0,Suspicious
rar,11520470,5.27,application/x-rar-compressed,0,Suspicious
pdf,5760114,3.41,application/pdf,0,Benign
ps1,7900478,5.96,text/plain,1,Malware
docm,50324165,7.36,application/vnd.ms-word.document.macroEnabled.12,0,Suspicious
ps1,6300811,6.16,text/plain,1,Malware
iso,54350604,5.17,application/x-iso9660-image,0,Suspicious
docm,32613602,6.54,application/vnd.ms-word.document.macroEnabled.12,0,Suspicious
js,13370736,7.11,application/javascript,1,Malware
vbs,24706941,7.23,text/plain,1,Malware
gif,7835866,3.42,image/gif,0,Benign
apk,13373552,6.65,application/vnd.android.package-archive,1,Malware
csv,7539354,4.1,text/csv,0,Benign
7z,12229807,5.14,application/x-7z-compressed,0,Suspicious
exe,32818474,7.53,application/x-dosexec,1,Malware
apk,7054422,6.7,application/vnd.android.package-archive,1,Malware
zip,50235948,4.5,application/zip,0,Suspicious
csv,5823372,1.26,text/csv,0,Benign
pptx,4523957,4.29,application/vnd.ms-powerpoint,0,Benign
gif,5691903,2.99,image/gif,0,Benign
csv,6118311,6.07,text/csv,0,Benign
docx,1945504,2.26,application/vnd.openxmlformats-officedocument.wordprocessingml.document,0,Benign
xlsm,73749130,4.24,application/vnd.ms-excel.sheet.macroEnabled.12,0,Suspicious
ps1,46735309,6.71,text/plain,1,Malware
gif,431782,1.92,image/gif,0,Benign
xlsx,1145811,1.99,application/vnd.ms-excel.sheet,0,Benign
jar,16003111,7.33,application/java-archive,1,Malware
docm,24526285,6.53,application/vnd.ms-word.document.macroEnabled.12,0,Suspicious
iso,44841144,3.85,application/x-iso9660-image,0,Suspicious
xlsx,840930,2.14,application/vnd.ms-excel.sheet,0,Benign
ps1,25991840,6.91,text/plain,1,Malware
ps1,23763847,7.82,text/plain,1,Malware
xlsm,31434136,5.56,application/vnd.ms-excel.sheet.macroEnabled.12,0,Suspicious
zip,28212299,4.35,application/zip,0,Suspicious
xlsm,66287024,4.85,application/vnd.ms-excel.sheet.macroEnabled.12,0,Suspicious
jpg,3297425,2.15,image/jpeg,0,Benign
exe,32656031,5.94,application/x-dosexec,1,Malware
bat,12943668,5.87,text/plain,1,Malware
png,6780214,3.37,image/png,0,Benign
xlsx,7941858,5.74,application/vnd.ms-excel.sheet,0,Benign
jar,38085706,6.79,application/java-archive,1,Malware
csv,5726760,1.2,text/csv,0,Benign
iso,77047380,4.43,application/x-iso9660-image,0,Suspicious
7z,8614884,4.47,application/x-7z-compressed,0,Suspicious
pptx,650119,3.88,application/vnd.ms-powerpoint,0,Benign
7z,17648966,4.05,application/x-7z-compressed,0,Suspicious
xlsx,5544008,3.19,application/vnd.ms-excel.sheet,0,Benign
xlsm,61028243,5.6,application/vnd.ms-excel.sheet.macroEnabled.12,0,Suspicious
jpg,201109,2.81,image/jpeg,0,Benign
xlsx,4925119,4.64,application/vnd.ms-excel.sheet,0,Benign
docx,7242112,2.44,application/vnd.openxmlformats-officedocument.wordprocessingml.document,0,Benign
xlsm,24804263,5.71,application/vnd.ms-excel.sheet.macroEnabled.12,0,Suspicious
7z,64955658,3.82,application/x-7z-compressed,0,Suspicious
xlsx,1869005,2.87,application/vnd.ms-excel.sheet,0,Benign
png,3746368,1.73,image/png,0,Benign
txt,30932,2.5,text/plain,0,Benign
dll,29578111,5.98,application/x-msdownload,1,Malware
pptm,60787455,5.14,application/vnd.ms-powerpoint.presentation.macroEnabled.12,0,Suspicious
png,1783280,1.69,image/png,0,Benign
rar,63397208,4.87,application/x-rar-compressed,0,Suspicious
js,39693550,6.42,application/javascript,1,Malware
gif,4090456,5.1,image/gif,0,Benign
jpg,609840,1.22,image/jpeg,0,Benign
png,7482770,2.76,image/png,0,Benign
docm,53616786,4.52,application/vnd.ms-word.document.macroEnabled.12,0,Suspicious
iso,10890919,7.33,application/x-iso9660-image,0,Suspicious
iso,50676082,5.4,application/x-iso9660-image,0,Suspicious
xlsm,70077498,4.78,application/vnd.ms-excel.sheet.macroEnabled.12,0,Suspicious
gif,6557117,4.19,image/gif,0,Benign
gif,1002427,6.01,image/gif,0,Benign
pptm,68692606,4.69,application/vnd.ms-powerpoint.presentation.macroEnabled.12,0,Suspicious
pptx,4876153,3.06,application/vnd.ms-powerpoint,0,Benign
scr,29162051,7.07,application/x-dosexec,1,Malware
apk,40796486,5.93,application/vnd.android.package-archive,1,Malware
docm,28769979,5.86,application/vnd.ms-word.document.macroEnabled.12,0,Suspicious
pdf,6965118,3.96,application/pdf,0,Benign
pdf,3623076,4.5,application/pdf,0,Benign
scr,40991638,7.46,application/x-dosexec,1,Malware
csv,6258814,3.39,text/csv,0,Benign
docm,5994714,4.2,application/vnd.ms-word.document.macroEnabled.12,0,Suspicious
docm,29455873,5.1,application/vnd.ms-word.document.macroEnabled.12,0,Suspicious
pptx,1755099,4.07,application/vnd.ms-powerpoint,0,Benign
bat,32205960,7.26,text/plain,1,Malware
exe,41206843,7.19,application/x-dosexec,1,Malware
jar,6991750,5.87,application/java-archive,1,Malware
txt,1279534,4.71,text/plain,0,Benign
zip,74313927,5.41,application/zip,0,Suspicious
pptm,3468795,4.57,application/vnd.ms-powerpoint.presentation.macroEnabled.12,0,Suspicious
pdf,4719781,3.4,application/pdf,0,Benign
jpg,5529071,2.77,image/jpeg,0,Benign
zip,836216,3.93,application/zip,0,Suspicious
xlsx,3305141,2.34,application/vnd.ms-excel.sheet,0,Benign
rar,27215962,4.41,application/x-rar-compressed,0,Suspicious
exe,12047014,7.53,application/x-dosexec,1,Malware
7z,17870287,4.22,application/x-7z-compressed,0,Suspicious
iso,65091333,5.59,application/x-iso9660-image,0,Suspicious
pptx,3092320,4.28,application/vnd.ms-powerpoint,0,Benign
dll,16929743,4.91,application/x-msdownload,1,Malware
ps1,13135799,5.64,text/plain,1,Malware
csv,5116434,4.78,text/csv,0,Benign
xlsx,5233133,4.67,application/vnd.ms-excel.sheet,0,Benign
txt,6687876,1.38,text/plain,0,Benign
iso,14763115,5.04,application/x-iso9660-image,0,Suspicious
7z,60729605,4.01,application/x-7z-compressed,0,Suspicious
txt,6081815,4.24,text/plain,0,Benign
scr,44838751,6.58,application/x-dosexec,1,Malware
gif,6280175,3.81,image/gif,0,Benign
csv,2067154,4.44,text/csv,0,Benign
zip,6329660,4.66,application/zip,0,Suspicious
jpg,1370955,2.67,image/jpeg,0,Benign
pptm,54693921,3.85,application/vnd.ms-powerpoint.presentation.macroEnabled.12,0,Suspicious
exe,30000868,5.36,application/x-dosexec,1,Malware
pdf,5576489,4.09,application/pdf,0,Benign
docx,7070132,1.84,application/vnd.openxmlformats-officedocument.wordprocessingml.document,0,Benign
csv,4763447,1.73,text/csv,0,Benign
docm,78766091,7.45,application/vnd.ms-word.document.macroEnabled.12,0,Suspicious
js,43405664,4.94,application/javascript,1,Malware
pdf,6412255,4.62,application/pdf,0,Benign
jar,18606146,6.65,application/java-archive,1,Malware
iso,76306223,6.65,application/x-iso9660-image,0,Suspicious
xlsm,30595257,4.42,application/vnd.ms-excel.sheet.macroEnabled.12,0,Suspicious
png,4989262,4.34,image/png,0,Benign
pptx,4113042,1.61,application/vnd.ms-powerpoint,0,Benign
txt,1334428,3.13,text/plain,0,Benign
docx,256598,3.79,application/vnd.openxmlformats-officedocument.wordprocessingml.document,0,Benign
gif,3468279,2.3,image/gif,0,Benign
txt,330213,3.04,text/plain,0,Benign
xlsm,37877810,4.39,application/vnd.ms-excel.sheet.macroEnabled.12,0,Suspicious
docx,3489233,4.13,application/vnd.openxmlformats-officedocument.wordprocessingml.document,0,Benign
vbs,15057270,5.07,text/plain,1,Malware
zip,66372606,6.94,application/zip,0,Suspicious
docx,7910483,2.08,application/vnd.openxmlformats-officedocument.wordprocessingml.document,0,Benign
gif,6982558,2.16,image/gif,0,Benign
bat,13140242,7.81,text/plain,1,Malware
docm,43589879,7.24,application/vnd.ms-word.document.macroEnabled.12,0,Suspicious
7z,65365780,5.28,application/x-7z-compressed,0,Suspicious
docm,2299396,3.85,application/vnd.ms-word.document.macroEnabled.12,0,Suspicious
xlsx,1356566,4.22,application/vnd.ms-excel.sheet,0,Benign
dll,47250712,5.45,application/x-msdownload,1,Malware
gif,2233217,3.45,image/gif,0,Benign
docm,4337290,6.63,application/vnd.ms-word.document.macroEnabled.12,0,Suspicious
vbs,48009586,6.22,text/plain,1,Malware
apk,17097347,5.93,application/vnd.android.package-archive,1,Malware
apk,21785167,6.44,application/vnd.android.package-archive,1,Malware
zip,40080912,5.64,application/zip,0,Suspicious
vbs,30016243,5.31,text/plain,1,Malware
xlsx,6019609,4.77,application/vnd.ms-excel.sheet,0,Benign
docm,18348116,5.64,application/vnd.ms-word.document.macroEnabled.12,0,Suspicious
xlsx,1161465,2.42,application/vnd.ms-excel.sheet,0,Benign
7z,58187485,7.28,application/x-7z-compressed,0,Suspicious
docx,3019257,2.72,application/vnd.openxmlformats-officedocument.wordprocessingml.document,0,Benign
vbs,20696942,5.33,text/plain,1,Malware
csv,4132306,2.52,text/csv,0,Benign
csv,1696202,1.78,text/csv,0,Benign
7z,48316215,5.45,application/x-7z-compressed,0,Suspicious
7z,11240005,6.77,application/x-7z-compressed,0,Suspicious
gif,3706656,4.38,image/gif,0,Benign
txt,7065056,1.72,text/plain,0,Benign
docm,17346553,4.72,application/vnd.ms-word.document.macroEnabled.12,0,Suspicious
vbs,43431211,5,text/plain,1,Malware
bat,8105640,7.83,text/plain,1,Malware
pptx,6908442,3.2,application/vnd.ms-powerpoint,0,Benign
jpg,3573089,3.55,image/jpeg,0,Benign
iso,71410569,6.95,application/x-iso9660-image,0,Suspicious
xlsm,39443488,6.77,application/vnd.ms-excel.sheet.macroEnabled.12,0,Suspicious
xlsm,21634590,4.78,application/vnd.ms-excel.sheet.macroEnabled.12,0,Suspicious
apk,3925265,7.24,application/vnd.android.package-archive,1,Malware
js,32636414,6.22,application/javascript,1,Malware
xlsx,1774278,2.2,application/vnd.ms-excel.sheet,0,Benign
rar,23928798,6.91,application/x-rar-compressed,0,Suspicious
txt,754874,2.78,text/plain,0,Benign
xlsm,77364996,3.9,application/vnd.ms-excel.sheet.macroEnabled.12,0,Suspicious
jpg,5602623,3.72,image/jpeg,0,Benign
exe,47918811,7.58,application/x-dosexec,1,Malware
pptx,4074931,2.25,application/vnd.ms-powerpoint,0,Benign
txt,2273734,5.62,text/plain,0,Benign
dll,14379992,7.13,application/x-msdownload,1,Malware
xlsx,5336404,3.89,application/vnd.ms-excel.sheet,0,Benign
pptx,1558105,1.85,application/vnd.ms-powerpoint,0,Benign
scr,44940078,6.37,application/x-dosexec,1,Malware
xlsx,667710,4.18,application/vnd.ms-excel.sheet,0,Benign
pptx,1017944,3.31,application/vnd.ms-powerpoint,0,Benign
docm,25819109,7.27,application/vnd.ms-word.document.macroEnabled.12,0,Suspicious
docm,11072840,3.8,application/vnd.ms-word.document.macroEnabled.12,0,Suspicious
xlsm,34029453,5.42,application/vnd.ms-excel.sheet.macroEnabled.12,0,Suspicious
rar,33784551,6.8,application/x-rar-compressed,0,Suspicious
7z,32253271,3.87,application/x-7z-compressed,0,Suspicious
scr,13177756,6.12,application/x-dosexec,1,Malware
exe,9845698,5.93,application/x-dosexec,1,Malware
docx,1264836,2.08,application/vnd.openxmlformats-officedocument.wordprocessingml.document,0,Benign
zip,15716272,6.05,application/zip,0,Suspicious
rar,11164368,5.08,application/x-rar-compressed,0,Suspicious
docm,73437796,4.07,application/vnd.ms-word.document.macroEnabled.12,0,Suspicious
gif,3773863,3.64,image/gif,0,Benign
docx,2650111,3.28,application/vnd.openxmlformats-officedocument.wordprocessingml.document,0,Benign
jar,48259097,6.38,application/java-archive,1,Malware
gif,4707289,3.29,image/gif,0,Benign
scr,25257144,5.87,application/x-dosexec,1,Malware
png,141021,3.93,image/png,0,Benign
apk,35020614,5.86,application/vnd.android.package-archive,1,Malware
docm,50890926,7.49,application/vnd.ms-word.document.macroEnabled.12,0,Suspicious
png,4663424,3.63,image/png,0,Benign
csv,4032082,1.51,text/csv,0,Benign
pptm,23241328,4.13,application/vnd.ms-powerpoint.presentation.macroEnabled.12,0,Suspicious
vbs,5790333,7.75,text/plain,1,Malware
exe,4189766,6.77,application/x-dosexec,1,Malware
exe,35027553,7.91,application/x-dosexec,1,Malware
apk,48422423,6.31,application/vnd.android.package-archive,1,Malware
docx,1216234,1.52,application/vnd.openxmlformats-officedocument.wordprocessingml.document,0,Benign
zip,69843605,4.71,application/zip,0,Suspicious
docx,3415632,4.4,application/vnd.openxmlformats-officedocument.wordprocessingml.document,0,Benign
pptx,7587294,3.3,application/vnd.ms-powerpoint,0,Benign
